clonotype,nodes,min_mut_level
B_147_6_100_148_1_41,"1, seq25, 2, seq21, 3, seq10, 4, seq26, seq22, 5, 6, 7, seq9, seq6, seq2, 8, seq30, 9, seq31, seq14, seq5, 10, seq28, seq12, seq27, seq24, seq11, seq8, seq4, seq3, seq29, seq23, seq19, seq18, seq17, seq16, 11, 12, seq1, seq7, seq15, seq20, seq13, 45",1
B_147_6_111_148_1_41,"1, seq5, seq3, seq2, 2, seq4, seq1",1
B_147_6_112_148_1_41,"1, 2, 3, 4, seq9, seq6, seq5, seq4, seq7, seq3, seq2, seq8, seq1",1
B_147_6_115_148_1_41,"1, 2, 3, seq5, seq2, 4, seq9, seq6, 5, seq10, seq7, seq4, seq3, seq8, seq1",1
B_147_6_117_148_1_41,"2, 3, 4, seq3, seq2, seq5, seq1",2
B_147_6_120_148_1_41,"1, 2, 3, seq2, 4, 5, seq24, seq17, 6, 7, seq21, seq15, seq5, 8, seq32, seq25, 9, seq3, seq28, seq23, seq34, seq30, seq9, 10, 11, 12, 13, 14, 15, seq31, seq22, seq6, seq27, seq16, seq19, 16, seq8, seq29, 17, seq4, 18, seq18, seq11, seq33, 19, seq12, seq10, seq26, 20, seq1, seq7, seq20, seq14, 56",1
B_147_6_122_148_1_41,"2, 3, seq6, seq4, 4, 5, 6, 7, seq7, seq9, seq8, seq3, seq2, 8, seq5, seq13, seq15, seq12, seq11, seq1",2
B_147_6_19_148_1_41,"1, 2, 3, seq5, seq4, seq3, seq2, seq1, 10",1
B_147_6_50_148_1_41,"3, seq19, 6, 7, 8, seq16, 9, 10, seq13, 11, seq18, seq5, seq3, seq6, seq17, seq10, 12, 13, seq9, seq7, seq11, seq14, 14, seq1, seq8, seq12, 35",2
B_147_6_55_148_1_41,"1, seq6, 2, 3, 4, seq11, 5, seq5, seq14, seq2, seq10, seq13, 6, seq1, seq17, 7, seq15, 8, seq4, seq16, seq9, seq8, seq7, seq3, seq12, 27",1
B_147_6_56_148_1_41,"2, seq6, 3, 4, seq4, seq2, seq5, seq3, seq1",2
B_147_6_57_148_1_41,"1, seq6, seq5, 2, seq3, 3, seq4, 4, seq7, 5, seq2, seq1",1
B_147_6_59_148_1_41,"1, seq5, seq3, 2, seq1, seq4, seq2",1
B_147_6_71_148_1_41,"2, seq2, seq1",2
B_147_6_72_148_1_41,"1, 2, seq2, 3, seq4, seq5, seq1",1
B_147_6_76_148_1_41,"4, 8, seq84, seq83, seq64, seq16, seq15, seq123, 9, 10, seq57, seq55, seq110, seq103, seq9, 11, seq102, seq80, seq35, seq95, seq88, 12, seq59, seq52, seq34, seq30, seq120, 13, 14, 15, 16, 17, 18, seq104, 19, 20, 21, seq92, seq70, seq60, seq47, seq44, seq119, 22, seq118, seq62, seq56, 23, 24, seq4, 25, 26, seq46, seq19, seq29, seq114, seq98, seq109, seq96, seq78, seq74, seq7, seq69, seq65, seq63, seq49, 27, seq27, seq116, seq108, seq71, seq61, seq40, 28, 29, seq76, seq14, seq113, seq106, seq79, 30, seq54, seq100, seq77, 31, 32, seq20, seq115, 33, seq3, 34, seq33, seq75, seq73, 35, 36, seq122, 37, seq86, seq43, seq99, seq36, seq25, 38, seq91, seq81, 39, seq82, seq68, seq22, 40, seq121, 41, seq10, seq37, seq2, seq45, 42, seq87, 43, 44, seq39, seq105, seq28, 45, 46, seq97, seq5, seq41, 47, seq94, seq89, seq85, 48, seq67, seq48, seq31, seq24, seq17, seq117, 49, seq11, seq72, seq66, seq112, seq51, seq38, seq32, seq18, seq101, seq53, seq12, seq1, 175, 177, 178, 179, 180, 181, 182, 183, 184, 185",2
B_147_6_76_218_1_5,"1, seq4, 2, 3, seq12, 4, 5, seq1, seq9, seq8, seq2, seq6, 6, seq14, seq5, seq3, seq17, seq13, 7, seq7, seq11, seq16, seq15, seq10, 26, 27, 28",1
B_147_6_86_148_1_41,"1, seq6, 2, 3, 4, seq7, seq13, 5, seq12, 6, 7, seq9, seq4, seq8, seq11, seq3, seq2, seq10, seq5, 8, seq14, seq1, 24",1
B_147_6_91_148_1_41,"1, seq5, 2, seq3, seq2, seq1, seq6, seq4",1
B_147_6_94_148_1_41,"1, seq4, seq2, 2, seq3, 3, seq6, seq5, seq1",1
B_147_7_123_148_1_41,"3, seq8, seq3, seq2, seq7",2
B_147_7_140_218_1_5,"seq1, seq4",2
B_147_7_145_218_1_5,"1, seq6, 2, seq8, seq7, seq5, seq4, seq3, seq2, seq1",1
B_147_7_157_148_1_41,"3, seq6, 5, seq1, seq5, seq2",2
B_147_7_157_218_1_5,"1, seq7, seq6, seq5, seq4, seq3, seq2, seq1, 10",1
B_147_7_160_148_1_41,"1, seq6, seq3, 2, 3, 4, seq8, 5, seq5, seq4, seq7, seq2, 15",1
B_147_7_162_148_1_41,"1, seq2, 2, 3, seq5, seq10, seq6, 4, 5, 6, seq8, seq4, 7, seq1, seq9, seq7, seq3",1
B_147_7_164_148_1_41,"4, seq4, seq3",3
B_147_7_167_148_1_41,"2, 4, 5, seq7, seq4, 6, seq5, seq2, 7, seq10, seq3, seq11, 9, seq9, seq1, 22",2
B_147_7_172_148_1_41,"2, 3, 4, seq9, seq7, 5, seq10, 6, seq15, seq12, 7, seq16, 8, seq17, seq8, seq2, 9, 10, seq3, seq24, 11, 13, seq6, seq23, seq25, seq28, 16, seq22, seq21, 17, seq13, seq11, seq1, seq4, seq26, seq18, 47, 48",2
B_147_7_175_218_1_5,"3, seq9, 5, seq6, seq1",2
B_147_7_177_148_1_41,"6, seq5, 8, seq22, seq8",3
B_147_7_178_148_1_41,"1, seq4, seq3, 2, seq2, 3, seq5, seq1",1
B_147_7_180_218_1_5,"3, seq2, 6, 7, seq5, seq11, seq9, seq12, seq10, 21, 22",2
B_147_7_181_148_1_41,"1, 2, seq3, 3, seq5, seq2, seq1",1
B_147_7_182_148_1_41,"3, 4, 5, seq24, seq14, seq6, 6, seq22, seq19, 7, 8, seq3, seq23, seq5, seq21, seq13, seq11, seq9, seq8, seq17, 9, 10, 11, seq2, seq15, seq16, 12, seq18, seq10, 13, 14, seq20, seq12, seq26, 15, seq25, seq1, 43, 44",2
B_147_7_184_135_1_4,"2, seq9, 3, seq8, seq7, seq6, 4, seq2, seq10, seq1, seq4, seq3, 16",2
B_147_7_184_148_1_41,"3, seq9, seq8, seq7, 4, 5, seq16, 6, seq1, 7, seq18, seq4, seq2, seq6, seq5, 8, seq3, seq17, seq14, 28, 29, 30",2
B_147_7_184_218_1_5,"6, seq9, seq3, seq23, seq2, 7, seq16, seq15, 8, seq11, 9, 10, seq7, seq5, seq19, seq4, seq21, seq12, seq14, seq10, seq25, seq13, seq1, 37, 38",3
B_147_7_188_148_1_41,"2, seq2, 3, 4, seq1, seq3, 5, 6, seq4, seq18, seq14, seq20, 7, seq17, 8, seq16, seq12, seq19, 9, 10, 11, seq7, seq15, 12, seq5, seq11, 13, seq9, seq8, seq13, seq10",2
B_147_7_188_218_1_5,"2, seq5, seq4, seq2",2
B_147_7_189_148_1_34,"1, seq2, 2, seq5, 3, seq4, seq3, seq1",1
B_147_7_189_148_1_41,"1, 2, seq1, seq3, 3, seq5, seq4, seq2",1
B_147_8_15_148_1_41,"1, seq5, seq4, 2, seq1, seq3, seq2",1
B_147_8_16_148_1_41,"1, 2, seq1, 3, seq2, seq5, 4, seq4, seq3",1
B_147_8_25_148_1_41,"1, seq6, seq4, 2, 3, seq1, seq5, seq3, seq7, seq2, 13",1
B_147_8_8_148_1_41,"1, 2, seq1, seq4, 3, seq6, seq5, seq3, seq2",1
B_147_9_33_148_1_41,seq2,3
B_147_9_34_148_1_41,seq4,4
B_19_2_9_148_1_41,seq6,2
B_82_2_3_148_1_41,"1, 2, seq3, seq2, seq1, seq5, seq4, 9",1
B_82_2_4_148_1_41,"2, seq9, seq7, seq6, 3, seq3, seq2, 4, seq8, seq5, seq10, seq1",2
B_82_2_6_148_1_41,"2, seq3, 3, seq5, seq1",2
B_82_3_1_148_1_41,"3, 4, 5, seq9, seq7, seq5, seq4, seq3, seq2, seq1, 16",2
B_82_4_2_148_1_41,"1, seq6, seq4, 2, seq1, seq5, seq3, seq2",1
B_82_9_8_148_1_41,"3, 4, 5, 6, seq5, seq8, seq3, seq7, seq1, 16",2
B_89_3_10_148_1_41,"1, 2, 3, seq9, seq8, 4, seq5, seq4, 5, seq11, seq10, seq7, seq2, seq3, 6, seq6, seq1",1
B_89_3_8_148_1_41,"1, seq4, 2, 3, seq23, 4, 5, 6, 7, 8, seq7, seq36, seq30, seq29, seq8, seq26, seq17, seq16, seq14, seq5, 9, 10, seq28, seq19, seq35, seq3, 11, seq9, seq18, seq13, 12, seq12, seq25, seq24, 13, 14, seq6, seq2, 15, 16, seq21, seq15, seq37, seq33, seq34, 18, 19, seq20, seq10, seq31, seq22, seq11, seq1, 58, 59, 60, 61, 62, 63, 64",1
B_89_3_9_148_1_41,"1, seq2, 2, seq5, seq4, seq3, 3, seq6, seq1, 11",1
B_89_3_9_148_1_46,"1, 2, 3, 4, seq4, seq2, seq9, seq7, seq6, 5, 6, seq8, seq3, seq5, seq10, seq1, 18",1
B_89_4_5_148_1_41,"3, seq5, 5, seq6, 6, seq7, seq3",3
B_89_4_7_148_1_41,"7, seq4, seq2, seq12",3
